"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","10","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","117","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","61","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","141","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","225","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1403","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","90","6","0.000000","0","13"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","31","1","1","78.104729","0","283"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","31","2","1","76.735214","0","320"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","31","1","1","77.478073","0","338"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","31","1","1","74.865448","0","273"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","31","1","1","75.701118","0","229"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","31","5","1","78.862045","0","316"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","31","1","1","75.539734","0","288"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","31","1","1","76.068161","0","263"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","31","1","1","77.046753","0","291"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","31","8","1","79.564400","0","334"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","31","1","1","44.178192","0","259"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","31","1","1","39.781921","0","189"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","101","1","1","160.434387","0","1833"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","31","1","1","76.206696","0","301"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","31","1","1","76.096901","0","352"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","31","6","1","80.604248","0","424"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","31","1","1","75.725952","0","344"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","0","31","1","1","79.137306","0","343"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","31","1","1","76.355812","0","278"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","31","1","1","79.066841","0","318"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","31","1","1","78.476105","0","302"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","31","1","1","78.974991","0","280"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","0","50","1","1","111.929001","0","665"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","37","1","1","46.878517","0","423"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","31","1","1","77.713341","0","300"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","0","31","1","1","79.966461","0","382"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","0","31","1","1","77.899841","0","443"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","31","1","1","77.563583","0","384"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","0","0","31","1","0.000000","0","0"
"/Game/Materials/TlalocChute_mat.TlalocChute_mat","0","46","1","1","175.342087","0","533"
"/Game/Materials/Stone_Yellow_mat.Stone_Yellow_mat","0","46","2","1","180.217712","0","590"
"/Game/Materials/Stone_Neutral_mat.Stone_Neutral_mat","0","77","1","1","260.395111","0","1139"
"/Game/Materials/Stone_LightBlue_mat.Stone_LightBlue_mat","0","46","1","1","178.026794","0","528"
"/Game/Materials/SeaGodReleif_mat.SeaGodReleif_mat","0","46","1","1","173.000610","0","411"
"/Game/Materials/TriagularDoor_mat.TriagularDoor_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/TreeTrunk_mat.TreeTrunk_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/SwingingBeam_mat.SwingingBeam_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Stone_Red_mat.Stone_Red_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/Stone_DarkBlue_mat.Stone_DarkBlue_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/DoorFrame_mat.DoorFrame_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/SpinnerPillar_mat.SpinnerPillar_mat","0","0","62","1","0.000000","0","0"
"/Game/Materials/SpikeTrapSpikes_mat.SpikeTrapSpikes_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/SmallBoulder_mat.SmallBoulder_mat","0","0","31","1","0.000000","0","0"
"/Game/Materials/QuetzalcoatlBase_mat.QuetzalcoatlBase_mat","0","46","1","1","177.342682","0","581"
"/Game/Materials/StepSlope_Corner_30_mat.StepSlope_Corner_30_mat","0","28","5","1","97.463913","0","295"
"/Game/Materials/StepSlope_Middle_45_mat.StepSlope_Middle_45_mat","0","46","3","1","180.164566","0","436"
"/Game/Materials/StepSlope_Middle_30_mat.StepSlope_Middle_30_mat","0","28","1","1","103.547432","0","223"
"/Game/Materials/StepSlope_Edge_45_mat.StepSlope_Edge_45_mat","0","46","1","1","186.948395","0","491"
"/Game/Materials/StepSlope_Edge_30_mat.StepSlope_Edge_30_mat","0","28","2","1","105.235405","0","190"
"/Game/Materials/StepSlope_Corner_45_mat.StepSlope_Corner_45_mat","0","46","2","1","181.282806","0","469"
"/Game/Materials/PillarDetailed_mat.PillarDetailed_mat","0","46","1","1","183.278900","0","550"
"/Game/Materials/PillarBlank_mat.PillarBlank_mat","0","31","1","1","78.245369","0","268"
"/Game/Materials/Tree_Leaves_mat.Tree_Leaves_mat","0","68","1","1","146.359756","0","896"
"/Game/Materials/Gold_mat.Gold_mat","0","46","1","1","171.542496","0","458"
"/Game/Materials/Brick_LightBlue_mat.Brick_LightBlue_mat","0","46","4","1","177.862885","0","569"
"/Game/Materials/BallCourtStands_mat.BallCourtStands_mat","0","46","8","1","176.204681","0","540"
"/Game/Materials/RootVines_mat.RootVines_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Rock5_mat.Rock5_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Rock4_mat.Rock4_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Rock3_mat.Rock3_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Rock2_mat.Rock2_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Rock1_mat.Rock1_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Red_BaseColor_mat.Red_BaseColor_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/Blue_BaseColor_mat.Blue_BaseColor_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/QuetzalcoatlHead_mat.QuetzalcoatlHead_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/PushTrap_mat.PushTrap_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Pot2_mat.Pot2_mat","0","0","62","1","0.000000","0","0"
"/Game/Materials/Pot1_mat.Pot1_mat","0","0","62","1","0.000000","0","0"
"/Game/Materials/Podium_mat.Podium_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/PillarBase_mat.PillarBase_mat","0","0","31","1","0.000000","0","0"
"/Game/Materials/MossyGround_mat.MossyGround_mat","0","0","31","1","0.000000","0","0"
"/Game/Materials/MayanCalendar_mat.MayanCalendar_mat","0","0","31","1","0.000000","0","0"
"/Game/Materials/LogNoSpikes_mat.LogNoSpikes_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/LargeBoulder_mat.LargeBoulder_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/Idol_mat.Idol_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/FriezeRelief_mat.FriezeRelief_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/Landscape_grass_mat.Landscape_grass_mat","0","0","161","3","0.000000","0","65"
"/Game/Materials/SpikeTrap_mat.SpikeTrap_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/FireChannel_Fire_mat.FireChannel_Fire_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/FireChannel_Base_mat.FireChannel_Base_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/DectrativeAlter_mat.DectrativeAlter_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Cracks_03_mat.Cracks_03_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Cracks_02_mat.Cracks_02_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Cracks_01_mat.Cracks_01_mat","0","0","108","1","0.000000","0","0"
"/Game/Materials/Cave_mat.Cave_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/BumperVines_mat.BumperVines_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/Brick_Yellow_mat.Brick_Yellow_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/Brick_DarkBlue_mat.Brick_DarkBlue_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/BallCourtGoal_mat.BallCourtGoal_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/Arrow_mat.Arrow_mat","0","0","77","1","0.000000","0","0"
"/Game/Materials/AlterWallRelief_2_mat.AlterWallRelief_2_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/AlterWallRelief_1_mat.AlterWallRelief_1_mat","0","0","46","1","0.000000","0","0"
"/Game/Materials/Decals/Decal_Test_mat.Decal_Test_mat","0","0","32","1","0.000000","0","0"
"/Game/Materials/Decals/BusyVines_Decal.BusyVines_Decal","0","0","32","1","0.000000","0","0"
"/Game/Character_Materials/Skeleton_Bones.Skeleton_Bones","0","0","52","1","0.000000","0","0"
"/Game/Character_Materials/Skeleton_Body.Skeleton_Body","0","0","132","1","0.000000","0","0"
"/Game/Character_Animations/Medalion/Medalion_Material/Medalion.Medalion","0","0","19","1","0.000000","0","0"
"/Game/Character_Animations/Mask/Mask_mat.Mask_mat","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","10","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","0","31","1","1","77.903320","0","207"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","31","1","1","79.066032","0","294"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","31","1","1","76.536568","0","280"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","40","1","1","48.854992","0","411"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","40","1","1","49.906586","0","368"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","31","2","1","79.862129","0","253"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","31","1","1","78.129028","0","290"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","16","2","2","33.490646","0","59"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","10","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","47","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","8","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","29","1","1","66.945923","0","225"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","31","2","1","77.367416","0","157"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","72","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","104","1","0.000000","0","0"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","31","7","1","78.815475","0","101"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","198","2","0.000000","0","0"
"/Game/Materials/Brick_Green_mat.Brick_Green_mat","0","0","46","1","0.000000","0","0"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","0","174","3","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","0","124","4","0.000000","0","0"
"/Engine/EditorMaterials/GeometryCollection/SelectedGeometryMaterial.SelectedGeometryMaterial","0","0","26","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","8","1","0.000000","0","0"
